p1,p2,rps,dam,mix
-0.009241900406777859,-0.015438999980688095,15.786999702453613,-0.04039999842643738,0.11309999972581863
-0.009029500186443329,0.006637699902057648,21.704999923706055,-0.09549999982118607,0.18569999933242798
0.0033706999383866787,0.009647299535572529,11.272000312805176,-0.016200000420212746,0.08100000023841858
-0.007794199977070093,-0.012334000319242477,11.454999923706055,-0.016300000250339508,0.07880000025033951
-0.017013000324368477,-0.015797000378370285,16.695999145507812,-0.05209999904036522,0.13850000500679016
-0.01066800020635128,-0.0027805001009255648,8.879500389099121,-0.007699999958276749,0.060499999672174454
0.00020670999947469682,0.010293000377714634,5.173900127410889,-0.0017999999690800905,0.02449999935925007
0.019650999456644058,0.005373000167310238,12.854999542236328,-0.0215000007301569,0.04259999841451645
-0.016255000606179237,0.008402899838984013,19.570999145507812,-0.05909999832510948,0.16130000352859497
-0.003952499944716692,-0.00980990007519722,18.889999389648438,-0.0681999996304512,0.13249999284744263
-0.015822283923625946,-0.013559414073824883,10.24226188659668,-0.01261423,0.07895816
-0.007173691876232624,0.0007706750184297562,7.354581356048584,-0.004768684,0.04291742
0.019999999552965164,-0.019999999552965164,25.132999420166016,-0.08381731,0.08224964
-0.003343372605741024,-2.3143900762079284e-05,3.1419999599456787,-0.000452958,0.01665534
0.019999999552965164,0.019999999552965164,9.826956748962402,-0.01391392,0.06275712
-0.019999999552965164,0.019999999552965164,14.724888801574707,-0.01807921,0.1027061
0.019999999552965164,0.019999999552965164,20.560935974121094,-0.1173057,0.1525829
0.019999999552965164,0.019999999552965164,17.654504776000977,-0.07427561,0.1276603
0.019999999552965164,-0.019999999552965164,14.288115501403809,-0.01589836,0.04354647
0.019999999552965164,-0.019999999552965164,6.345811367034912,-0.001732116,0.01619158
0.019999999552965164,0.019999999552965164,8.240068435668945,-0.008626315,0.04856012
-0.018554259091615677,0.019999999552965164,23.0231876373291,-0.05421105,0.08640656
-0.019999999552965164,-0.019999999552965164,4.226071357727051,-0.02790801,0.01285579
0.019999999552965164,-0.019999999552965164,10.649620056152344,-0.007005195,0.02918159
-0.019999999552965164,-0.019999999552965164,9.249822616577148,-0.01097339,0.07210288
-0.019999999552965164,0.019999999552965164,15.391471862792969,-0.02016966,0.09836581
-0.019999999552965164,-0.019999999552965164,7.976093292236328,-0.05190796,0.05425168
0.019999999552965164,0.019999999552965164,16.048294067382812,-0.05630045,0.1146805
-0.019999999552965164,-0.019999999552965164,9.703901290893555,-0.01228017,0.07703714
-0.019999999552965164,0.019999999552965164,10.580683708190918,-0.005928606,0.01529403
-0.019999999552965164,-0.019999999552965164,12.010217666625977,-0.04185458,0.09698125
0.019999999552965164,-0.019999999552965164,15.054611206054688,-0.01968414,0.0417192
-0.019999999552965164,0.019999999552965164,5.924713611602783,-0.00155018,0.02758347
0.019999999552965164,0.019999999552965164,9.31788158416748,-0.01223823,0.05715754
